011 -- Kulutushyodykkeiden keskihintoja

Vuosi;Hyodyke;Tiedot;Vuosikeskiarvo
2017;Banaani, 1 kg;Keskihinta;1.45
2017;Omena, 1 kg;Keskihinta;2.09
2017;Paaryna, 1 kg;Keskihinta;2.28
2017;Rypaleet, 1 kg;Keskihinta;5.15
2017;Vesimeloni, 1 kg;Keskihinta;.
2017;Kuivatut luumut, 200 g;Keskihinta;2.48
2017;Suolapahkinat, 200 g;Keskihinta;1.81
2017;Ananassailyke, 227 g;Keskihinta;0.79
2017;Jalkiruokakeitto, 1 l;Keskihinta;2.26
2017;Jaavuorisalaatti, 1 kg;Keskihinta;3.01
2017;Ruukkusalaatti, 1 kpl;Keskihinta;1.13
2017;Kukkakaali, 1 kg;Keskihinta;3.13
2017;Tomaatti, 1 kg;Keskihinta;2.92
2017;Kurkku, 1 kg;Keskihinta;2.46
2017;Paprika, 1 kg;Keskihinta;4.22
2017;Porkkana, 1 kg;Keskihinta;1.49
2017;Sipuli, 1 kg;Keskihinta;1.36
2017;Maustekurkut, 1 kg;Keskihinta;6.18
2017;Tomaattisailyke, 400 g;Keskihinta;0.76
2017;Ruokaperuna, 1 kg;Keskihinta;0.85
2017;Perunalastut, 350 g;Keskihinta;2.93
2017;Ranskalaiset perunat, 500 g;Keskihinta;1.17
2017;Hienosokeri, 1 kg;Keskihinta;0.88
2017;Mansikkahillo, 1 kg;Keskihinta;5.69
2017;Suklaalevy, 200 g;Keskihinta;2.14
2017;Suklaapatukka, 44 g;Keskihinta;0.65
2017;Irtomakeiset, , 1 kg;Keskihinta;7.93
2017;Makeispussi, 220 g;Keskihinta;2.06
2017;Lakritsi, 500 g;Keskihinta;3.19
2017;Ksylitolipurukumi, 110 g;Keskihinta;2.77
2017;Jaatelopaketti, 1 l;Keskihinta;1.81
2017;Jaatelotuutti, 70 g;Keskihinta;0.77
2017;Tomaattiketsuppi, 1 kg;Keskihinta;3.33
2017;Sinappi, 125 g;Keskihinta;0.91
2017;Vauvan velli, 2 dl;Keskihinta;.
2017;Vauvan purkkiruoka, 200 g;Keskihinta;1.07
2017;Eineslaatikko, 400 g;Keskihinta;1.97
2017;Tuorehiiva, 50 g;Keskihinta;.
2017;Kahvipaketti, 500 g;Keskihinta;3.99
2017;Pussitee, 50 g;Keskihinta;3.94
2017;Kaakaojuomajauhe, 500 g;Keskihinta;3.23
2017;Kivennaisvesi, 1,5 l;Keskihinta;1.76
2017;Virvoitusjuoma, 1,5 l;Keskihinta;2.24
2017;Virvoitusjuoma sokeriton, 1,5 l;Keskihinta;1.94
2017;Kolajuoma, 1,5 l;Keskihinta;.
2017;Sitruslimonadit, 1,5 l;Keskihinta;.
2017;Muut hedelmalimonadit, 1,5 l;Keskihinta;.
2017;Juomatiiviste, 1 l;Keskihinta;.
2017;Taysmehu, 1 l;Keskihinta;.
2017;Appelsiinitaysmehu, 1 l;Keskihinta;1.39
2017;Mehujuoma, 1 l;Keskihinta;1.17
2017;ALKOHOLIJUOMAT, TUPAKKA;Keskihinta;.
2017;Koskenkorvapullo, lasipullo, 0,5 l;Keskihinta;13.69
2017;Siideri, 0,5 l;Keskihinta;2.85
2017;III-olut, 12-pack, 3960 ml;Keskihinta;12.37
2017;ASUMINEN, VESI, SAHKO, KAASU JA MUUT POLTTOAINEET;Keskihinta;.
2017;Vapaarahoitteisen kaksion vuokra, eur/m2/kk;Keskihinta;.
2017;Kerrostalokaksion hinta, eur/m2;Keskihinta;2440.25
2017;Asuntolainojen keskikorko, %;Keskihinta;.
2017;Sahko, kWh;Keskihinta;0.15
